Player_ID,First_Name,Last_Name,Gamer_Handle_IGN,Gender,DOB,Email,Phone,Country,MMR_Rating
P0001,Riya,Kapoor,NovaRiya92,Female,2001-05-26,riyakapoor0001@estcgp.gg,+17918072278,USA,2462
P0002,John,Patel,SilentJohn98,Male,1999-11-27,johnpatel0002@estcgp.gg,+918025297138,India,616
P0003,John,Khan,CrimsonJohn7,Male,2003-04-19,johnkhan0003@estcgp.gg,+918688289409,India,0
P0004,Alex,Khan,RapidAlex98,Male,1996-02-20,alexkhan0004@estcgp.gg,+17589104524,USA,2464
P0005,John,Yadav,BlazeJohn70,Male,2001-09-13,johnyadav0005@estcgp.gg,+18286398353,USA,3654
P0006,Sara,Shah,NovaSara4,Female,2000-05-03,sarashah0006@estcgp.gg,+18600632729,USA,3400
P0007,Sam,Patel,SilentSam92,Male,1998-12-01,sampatel0007@estcgp.gg,+917460224377,India,3299
P0008,John,Patel,PrimeJohn21,Male,2000-02-11,johnpatel0008@estcgp.gg,+919694608099,India,2731
P0009,Aman,Khan,NexusAman98,Male,2005-11-23,amankhan0009@estcgp.gg,+918247391568,India,3249
P0010,Aman,Khan,RogueAman50,Male,1996-02-04,amankhan0010@estcgp.gg,+918324825635,India,3197
P0011,Sara,Joshi,HyperSara39,Female,2000-03-26,sarajoshi0011@estcgp.gg,+917642081425,India,3950
P0012,Sara,Khan,QuantumSara36,Female,1996-09-01,sarakhan0012@estcgp.gg,+919285808911,India,2544
P0013,Sam,Chopra,PrimeSam21,Male,2001-04-08,samchopra0013@estcgp.gg,+18610542756,USA,4363
P0014,Sara,Khan,HyperSara75,Female,2003-07-09,sarakhan0014@estcgp.gg,+917666025434,India,462
P0015,Alex,Gupta,PhoenixAlex61,Male,2004-08-07,alexgupta0015@estcgp.gg,+18613063789,USA,1224
P0016,Aman,Chopra,NeonAman65,Male,1999-01-19,amanchopra0016@estcgp.gg,+917146854195,India,3389
P0017,Alex,Yadav,IronAlex18,Male,1998-03-04,alexyadav0017@estcgp.gg,+917023654180,India,3091
P0018,John,Yadav,SilentJohn93,Male,2000-02-16,johnyadav0018@estcgp.gg,+919453194401,India,4026
P0019,Alex,Joshi,PhoenixAlex55,Male,1999-12-24,alexjoshi0019@estcgp.gg,+19787601554,USA,518
P0020,Alex,Khan,BlazeAlex39,Male,1996-09-01,alexkhan0020@estcgp.gg,+919925518011,India,4299
P0021,Alex,Patel,PrimeAlex97,Male,1998-11-02,alexpatel0021@estcgp.gg,+19150420349,USA,1016
P0022,Sam,Khan,CrimsonSam13,Male,2000-04-16,samkhan0022@estcgp.gg,+17092401274,USA,3927
P0023,John,Yadav,HyperJohn98,Male,2004-09-01,johnyadav0023@estcgp.gg,+919453780461,India,2625
P0024,Riya,Yadav,NovaRiya68,Female,2001-11-08,riyayadav0024@estcgp.gg,+919611888158,India,1244
P0025,Aman,Khan,TitanAman2,Male,2007-07-08,amankhan0025@estcgp.gg,+919190537627,India,3384
P0026,John,Khan,KnightJohn46,Male,1997-06-05,johnkhan0026@estcgp.gg,+919004811660,India,2623
P0027,John,Mehta,LunaJohn37,Male,1998-11-12,johnmehta0027@estcgp.gg,+917973245731,India,3823
P0028,Aman,Singh,BlazeAman93,Male,2005-02-09,amansingh0028@estcgp.gg,+917573500641,India,4996
P0029,John,Khan,RapidJohn83,Male,1998-10-04,johnkhan0029@estcgp.gg,+917242486387,India,1945
P0030,Riya,Singh,ShadowRiya60,Female,1998-10-24,riyasingh0030@estcgp.gg,+919197116015,India,0
P0031,Sara,Sharma,NeonSara74,Female,2002-10-27,sarasharma0031@estcgp.gg,+19452660570,USA,2370
